rank,theme,artist,title,score
1,love,Jessica Simpson,I Think I'm In Love With You,151
2,love,Jessica Simpson,Betcha She Don't Love You,133
3,love,Jill Scott,It's Love,126
4,love,Shaggy,All About Love,113
5,love,Bill Withers,Lovely Day,104
6,love,Jessica Simpson,Final Heartbreak,100
7,love,Lauryn Hill,The Passion,99
8,love,All Saints,Love Is Love,92
9,love,Bruce Springsteen,My Love Will Not Let You Down,85
10,love,Leonard Cohen,Lover Lover Lover,84
11,love,Public Image Ltd,Fodderstompf,82
12,love,Ann Nesby,Love Is What We Need,81
13,love,The Ventures,All You Need Is Love,80
14,love,Deniece Williams,I Found Love,78
15,love,R. Kelly,You Made Me Love You,76
16,love,A Tribe Called Quest,The Love,75
17,love,Sparks,Eaten By the Monster of Love,73
18,love,Signal,All About Love,73
19,love,Karyn White,The Way You Love Me (LP Version),72
20,love,Whodini,One Love,72
21,love,Kim Wilde,Loved,71
22,love,Louise,Happy Love,70
23,love,Ella Fitzgerald,Lover,70
24,love,Lil Scrappy,F.I.L.A. (Chopped & Screwed Album Version),70
25,love,Sophie Ellis-Bextor,Lover,70
26,love,Lone Justice,I Found Love,68
27,love,Stevie Wonder,All Day Sucker,68
28,love,Kiss,Do You Love Me,67
29,love,Brick & Lace,Love Is Wicked,67
30,love,Omarion,Obsession,66
31,love,Jermaine Jackson,If You Don't Love Me,65
32,love,Deborah Harry,In Love With Love,64
33,love,Mandisa,Love Somebody,64
34,love,KC & The Sunshine Band,Who Do Ya Love,63
35,love,Spinners,Love Or Leave,63
36,love,Sara Bareilles,Bottle It Up,62
37,love,Burning Spear,Land Of My Birth,62
38,love,Java,Don't Phunk With My Heart,61
39,love,Danko Jones,Love Is Unkind,61
40,love,Luther Vandross,Wait For Love,61
41,love,The Blood Brothers,Love Rhymes With Hideous Car Wreck,60
42,love,R. Kelly,Love Signals,60
43,love,Third World,Try Jah Love,60
44,love,Matt Redman,Here Is Love,59
45,love,Wilson Pickett,I'm In Love (Single/LP Version),58
46,love,Ziggy Marley,I Love You Too (feat Rita Marley and  Cedella Marley),58
47,love,Akon,Birthmark,57
48,love,R. Kelly,Step In The Name Of Love,57
49,love,Kenny Wayne Shepherd,Chase The Rainbow (Album Version),57
50,love,Benzino,Love (Featuring L.O.) (Bonus Track) (Explicit LP Version),57
