rank,theme,artist,title,score
1,war,Culture Club,The War Song (2003 Digital Remaster),84
2,war,Hot Boys,Introduction (Hot Boyz/Let Em Burn),70
3,war,Cheryl Cole,Fight For This Love,67
4,war,Frankie Goes To Hollywood,War,63
5,war,Tiziano Ferro,Soul-dier,63
6,war,Elephant Man,Stop War,49
7,war,Curse,Das versteh ich nicht,46
8,war,Metric,Monster Hospital,45
9,war,Warrior Soul,Song in Your Mind,43
10,war,Warrior Soul,I Want Some,43
11,war,Warrior Soul,5 Ways to the Gutter,43
12,war,The Lovin' Spoonful,Warm Baby,41
13,war,Anthrax,Gung Ho,41
14,war,8Ball & MJG,Get Low (Explicit Album Version),40
15,war,Jomanda,Don't Fight The Feeling,40
16,war,Motörhead,Fight,38
17,war,Soulfly,Blood Fire War Hate (Album Version),38
18,war,Big Punisher,Beware,38
19,war,Country Joe McDonald,The Call,36
20,war,Shaggy,Stand Up,36
21,war,Donnie McClurkin,Great Is Your Mercy,36
22,war,30 Seconds To Mars,This Is War (Radio Edit),36
23,war,The Ruts,Jah War,36
24,war,30 Seconds To Mars,This Is War,36
25,war,Suicidal Tendencies,War Inside My Head,36
26,war,Creed,Good Fight,35
27,war,Kanye West,The Glory,34
28,war,NOFX,Intro / Glass War,33
29,war,Black Tide,Warriors Of Time,33
30,war,Kris Kross,Warm It Up,33
31,war,Disciple,Fight For Love,32
32,war,Akon,Don't Matter,31
33,war,Public Enemy,Fight The Power,31
34,war,Ocean Colour Scene,Profit In Peace,31
35,war,White Lion,Fight To Survive,31
36,war,Edwin Starr,War,31
37,war,Live,What Are We Fighting For?,30
38,war,Juli,Warum,30
39,war,Voodoo Glow Skulls,Silencer,30
40,war,Vitamin X,Fight,30
41,war,Augie March,Believe Me,30
42,war,Sean Kingston,War,29
43,war,Fischerspooner,We Need A War,29
44,war,Bob Marley & The Wailers,Zimbabwe,29
45,war,LL Cool J,It's Time For War,29
46,war,Kenny Loggins;Steve Perry,Don't Fight It,29
47,war,Coal Chamber,One Step (Chop Shop Mix a/k/a Scott Humphrey Mix) (Album Version),28
48,war,Martin Jondo,Rainbow Warrior (Seoul Mix),27
49,war,System of a Down,War?,27
50,war,Buju Banton,African Pride,27
