rank,genre,artist,title,song_id,play_count
1,Jazz,Ron Carter,I CAN'T GET STARTED,SOUNZHU12A8AE47481,158636
2,Jazz,Jacky Terrasson,Le Jardin d'Hiver,SOMCMKG12A8C1347BF,75540
3,Jazz,Erin Bode,Here_ There And Everywhere,SOPBFHP12A8C131F30,43298
4,Jazz,Michael Bublé,Home (Album Version),SOHQFNK12A6701C0B9,28314
5,Jazz,Bohren & Der Club Of Gore,Welk,SOASTSF12A8C1420B5,24673
6,Jazz,Bohren & Der Club Of Gore,Schwarze Biene (Black Maja),SONOMEC12A8C14541F,21616
7,Jazz,Zero 7,In The Waiting Line,SOMCWAZ12A67ADBCE3,20733
8,Jazz,João Gilberto,Bolinha De Papel,SODVWOV12A6D4FB6D2,17815
9,Jazz,Dave Grusin,St. Elsewhere,SONIIYT12A58A7E0AF,13538
10,Jazz,Parov Stelar,KissKiss,SOLCKBV12A8C13CEC1,13290
11,Jazz,Amy Winehouse,Back To Black,SOPBAZT12A6D4F8E88,11590
12,Jazz,Jan Hammer,Crockett's Theme,SOZMEWR12A6701EBD9,10877
13,Jazz,Oscar Peterson,Nighttime,SOTIVSJ12A6310DA82,10274
14,Jazz,Miles Davis,'Round Midnight,SOXDEDR12A8AE452CC,9726
15,Jazz,Evanescence,My Last Breath,SOIAHAG12A8C137806,8826
16,Jazz,Deborah Harry & Iggy Pop,Well Did You Evah!,SOGLRDV12A6D4F6D73,8713
17,Jazz,Koop,Come To Me,SOBIONB12AB0185862,8379
18,Jazz,Ulf Wakenius,Good Morning Susie Soho,SOSQIRI12A8C133897,8174
19,Jazz,Mikromusic,Moje Mieszkanie,SOBWRTW12AB018825D,8021
20,Jazz,Bo Kaspers Orkester,Undantag,SOPLVFB12A8C141022,7651
21,Jazz,Mr. Scruff,Get A Move On!,SOOPXFG12A6D4FB80C,7260
22,Jazz,Marion Meadows,Between The Sheets,SOYRLND12AB018065C,5600
23,Jazz,The Solsonics,Keep The Rhythm Strong,SOYVKLY12A6D4F7C54,5584
24,Jazz,Madeleine Peyroux,Dance Me To The End Of Love,SONPYCL12A6310DBDD,5351
25,Jazz,Koop,Koop Island Blues,SOSHWWI12A58A7A6A0,5103
26,Jazz,Oscar Brown Jr.,Watermelon Man,SOVABIW12A8C1341B9,5013
27,Jazz,April Stevens,Teach Me Tiger,SOKBNPB12AC9070EF6,4957
28,Jazz,João Gilberto,Desde Que O Samba E Samba,SOHICUL12A6D4FA526,4755
29,Jazz,Dusty Springfield,Spooky,SOZWJEP12A6310E1F5,4511
30,Jazz,Jamie Cullum,Back To The Ground,SOQJYWS12A67AE0EC9,4451
31,Jazz,João Gilberto,Eu Quero Um Samba,SORWVIM12A6D4FAD61,4434
32,Jazz,Melody Gardot,Baby I'm A Fool,SOGVAPY12AB0183DDD,4158
33,Jazz,Esperanza Spalding / Leo Genovese,I Know You Know,SOVSXPH12AB0181339,4123
