rank,genre,artist,title,song_id,play_count
1,Rap,Alliance Ethnik,Représente,SOOFYTN12A6D4F9B35,241669
2,Rap,Beastie Boys,The Maestro,SOMMONH12A6D4F41CD,72381
3,Rap,Eminem,Without Me,SOWGXOP12A6701E93A,63918
4,Rap,Black Eyed Peas,Imma Be,SOBADEB12AB018275F,62438
5,Rap,Kid Cudi,Up Up & Away,SOARUPP12AB01842E0,59810
6,Rap,DJ Khaled,All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross),SOYGKNI12AB0187E6E,57023
7,Rap,Kanye West,Stronger,SOBXHDL12A81C204C0,54746
8,Rap,Ice Cube,It Was A Good Day,SOKYHYL12A8C13D79D,52472
9,Rap,Restiform Bodies,Interactive Halloween Bear,SOKENKR12AB01828F7,41471
10,Rap,Black Eyed Peas,Pump It,SOMEUED12A6701DBEA,41243
11,Rap,Eminem,My Name Is,SOOLULU12A6701FBC4,37130
12,Rap,Chiddy Bang,Opposite Of Adults,SOUNNWW12AB018795D,34504
13,Rap,Eminem,Hailie's Song,SOPCTBB12AF72A1B64,32677
14,Rap,Jadakiss / Swizz Beatz / OJ Da Juiceman,Who's Real,SOXHIDK12A58A7CFB3,29321
15,Rap,The Lonely Island,Like A Boss,SOIRJGI12AF72A3A57,26205
16,Rap,MC Hammer,Addams Groove,SOSQJWM12A6D4F79E0,26187
17,Rap,Dr. Dre / Eminem,Forgot About Dre,SOPJLFV12A6701C797,24502
18,Rap,Black Eyed Peas,My Humps,SOUUZPU12A6701FB90,23151
19,Rap,Looptroop,Long Arm Of The Law,SORHUJT12A8C13B85E,20963
20,Rap,Mystikal,Alright,SOLRZLK12AF72A3F6C,20307
21,Rap,Kid Cudi,Cudi Zone,SOEPWYH12AF72A4813,20158
22,Rap,Black Eyed Peas,Hey Mama,SOVMGXI12AF72A80B0,20040
23,Rap,Slum Village,Let's Go (Produced by B.R. Gunna),SOZCBWK12A58A7DFA5,19109
24,Rap,Kanye West,Flashing Lights,SOOLPFK12A58A7BDE3,18378
25,Rap,K-OS,EMCEE Murdah,SOWKXQS12A8C1343A6,18270
26,Rap,LMFAO,Yes,SOLQXDJ12AB0182E47,17051
27,Rap,Girl Talk,Give and Go,SOZHRXQ12A8C136EC4,16961
28,Rap,Lady GaGa,Boys Boys Boys,SOSHVEI12AF729AF6B,16925
29,Rap,Outkast Featuring Killer Mike,The Whole World,SOONJMQ12A8C137E6D,16240
30,Rap,El-P,Blood,SOTTTEQ12B0B80CA01,16022
31,Rap,Kutt Calhoun,N A Whitemanzeyez,SOVEDOZ12AB01873A1,15736
32,Rap,ARRESTED DEVELOPMENT,Fountain Of Youth,SOEVGLT12A6D4F7A4E,15247
33,Rap,Ying Yang Twins ft. Pitbull,Shake,SOILNZM12AF72A791A,15221
34,Rap,Yeasayer,O.N.E,SOHPRQX12AB0186127,14832
35,Rap,Kris Kross,Jump,SOKUBOH12A8C131BD1,14056
36,Rap,House Of Pain,Jump Around (LP Version),SOXNYUA12AB017B49B,13440
37,Rap,Blackstreet / Dr. Dre,No Diggity,SOTCDXR12A679D7E5E,13351
38,Rap,Binary Star,Solar Powered,SOUGLIK12A8C143DF4,13304
39,Rap,50 Cent,P.I.M.P.,SOXZTLV12A6701FFDD,13190
40,Rap,Eazy-E,Eazy-Er Said Than Dunn,SOKUEJO12A6701F6CC,12951
41,Rap,Grandmaster Flash & The Furious Five,The Message,SOVXCNA12A58A7881A,12295
42,Rap,Asian Dub Foundation,Rise To The Challenge,SOWKKGX12A6D4FCC01,12209
43,Rap,Alicia Keys,Un-thinkable (I'm Ready),SOLHJSQ12AB018CE33,12185
44,Rap,OutKast,The Way You Move,SOWAACZ12A8C135AC1,11923
45,Rap,Young Jeezy,Streets On Lock,SOJQOIK12AF72A0AAF,11816
46,Rap,Kid Cudi,Simple As...,SOJPKCY12AF72A103F,11637
47,Rap,Jay-Z,D'Evils,SOPGCXT12A8C138AD1,11550
48,Rap,Lil Wayne,I'm Me,SORKKEN12AF72AA5FA,11401
49,Rap,Ja Rule / Vita,Put It On Me,SODOQUU12AAF3B33DF,11156
50,Rap,Kid Cudi,Sky Might Fall,SORMOAU12AB018956B,10902
51,Rap,K'Naan,Take A Minute,SOFXDVI12AB0187514,10813
52,Rap,Kid Cudi,Solo Dolo (nightmare),SOSFAQM12AB018427B,10638
53,Rap,Eminem,Marshall Mathers,SOTIEEP12A6701C779,10620
54,Rap,Kanye West,Hey Mama,SOUXNNU12A67020A48,10595
55,Rap,Gang Starr,Soliloquy Of Chaos (Explicit),SOXKALX12A6D4F623B,10590
56,Rap,Big Shug,It Just Don't Stop,SODKKNZ12A8C13E383,10570
57,Rap,Eminem,Criminal,SOSJTOL12A6D4FB4CD,10539
