rank,genre,artist,title,song_id,play_count
1,Reggae,Eddy Grant,Electric Avenue,SOSNJIT12A8159E8DB,29781
2,Reggae,Bob Marley,Lively Up Yourself,SOLTIVF12AAFF43797,14955
3,Reggae,Junior Murvin,Bad Weed,SOQBPJO12A6D4F7A7A,14095
4,Reggae,Collie Buddz,..Come Around,SOVQSQZ12A8C13F960,12951
5,Reggae,Damian Marley,Welcome To Jamrock,SOSSUUS12A6701EA3C,12443
6,Reggae,Damian Marley / Nas,Road To Zion,SOHINQU12A67ADAF08,11235
7,Reggae,Iration,Falling,SOCIUSI12AB018DD03,9480
8,Reggae,Steel Pulse,K.K.K.,SOFWLKW12A6701EA62,8696
9,Reggae,Slightly Stoopid,Mellow Mood,SOJIDVJ12AF729C7C4,8039
10,Reggae,Carla Bruni,Those Dancing Days Are Gone (Album),SOPBUCH12A6D4FBF0C,7857
11,Reggae,Gyptian,Hold You,SONIQAM12AB018545A,7856
12,Reggae,Zap Pow,Lottery Spin,SOOEQXL12AAF3B4D73,7608
13,Reggae,Rebelution,Safe and Sound,SOGSMTD12AB0181B7D,7293
14,Reggae,Daddy Yankee,Ella Me Levanto,SODFCYY12A58A78381,7252
15,Reggae,The Special AKA,Bright Lights (Instrumental),SONPCAF12A81C21DE9,6968
16,Reggae,The Ethiopians,Train To Skaville,SOWIOLK12A81356D4A,6908
17,Reggae,Ja-Man All Stars,East Man Skank,SOKZRTZ12A6D4F619C,6833
18,Reggae,Reel Big Fish,Beer,SODFDJT12A8C13A08E,6740
19,Reggae,Matisyahu,King Without A Crown,SORWGRQ12A8C13FFA1,6688
20,Reggae,Iration,Time Bomb,SOAGWPY12AB018CD74,6331
21,Reggae,Prince Alla,I Don't Want To Be Late,SORKLNO12A6D4F70D7,6100
22,Reggae,Bob Marley & The Wailers,Smile Jamaica,SOITBNC12AF72A0B2A,6071
23,Reggae,Beenie Man,Girls Dem Sugar,SOJSKRC12A6D4F7A12,6021
24,Reggae,Nonpalidece,Danger Man,SOVDBZF12A6D4FC00D,5907
25,Reggae,SOJA,You Dont Know Me,SOCRJQT12AB0188875,5754
26,Reggae,Kalle Baah,Ugly Girls,SOJSFUH12AB018B9E0,5545
27,Reggae,Bedouin Soundclash,When The Night Feels My Song,SOYZHGH12A67AE0ED5,5435
28,Reggae,Collie Buddz featuring Roache,Sensimillia,SOCKAEI12A8C1422C8,5250
29,Reggae,Ziggy Marley,Good Old Days,SOKNIAR12A8C1382CD,4852
30,Reggae,Iration,Turn Around,SOGEXZO12AB018CD78,4746
31,Reggae,Panteón Rococó,Reality Shock,SOQULSR12AB0185268,4637
32,Reggae,Gondwana,Felicidad,SOSTRGA12A8C138D77,4604
33,Reggae,SOJA,You and Me,SOTAUHB12AB018342F,4564
34,Reggae,Natiruts,Leve Com Você,SOXPZKE12A6D4F93C9,4523
35,Reggae,UB40,Light My Fire,SOZPNNF12A6310D8B1,4407
36,Reggae,Spook And The Guay,Carol,SOHVHQE12A8C13AD3A,4211
37,Reggae,Natiruts,Proteja-se E Lute,SOCFILE12A6D4F905F,4176
38,Reggae,Gondwana,Mi Princesa,SORYNAN12A8C13CA99,4155
39,Reggae,SOJA,True love,SOAHPVM12AB018868C,4120
40,Reggae,Damian Marley / Stephen Marley,All Night,SOAYSTU12A67ADAF03,4084
41,Reggae,Madness,One Step Beyond,SOQPBUN12A6D4F6B02,4080
42,Reggae,Molotov,Puto,SOOKNEY12A8C13D63E,3934
43,Reggae,I Wayne,Bleacher,SOJJTBR12A6D4FB2B3,3727
44,Reggae,Groundation,Ruling Dub,SOSTAOP12A8C136DC4,3713
45,Reggae,Seeed,Papa Noah (2004),SOOIVGQ12A67020496,3712
46,Reggae,Fat Freddy's Drop,Wandering Eye,SOJTSOG12A8C13D673,3490
47,Reggae,Easy Star All-Stars,"Money (featuring Gary ""Nesta"" Pine & Dollarman)",SOFKNVA12A6D4FA879,3466
48,Reggae,Pepper,Ashes,SOMHBVK12A8C13DF86,3431
49,Reggae,Wayne Wonder,Die Without You,SOICADV12A6D4FBC3B,3412
50,Reggae,Slightly Stoopid,Everything You Need,SOVKYUG12A8C14088C,3398
51,Reggae,Slightly Stoopid,Ain't Got A Lot of Money,SOLSQLR12A8C1420E8,3388
52,Reggae,SOJA,I Dont Wanna Wait,SOEVZND12AB0183DA0,3378
53,Reggae,Fat Freddy's Drop,Del Fuego,SOIFQKC12A8C13D67A,3151
54,Reggae,Peter Tosh,Johnny B. Goode,SOJQEQA12A8C134724,3126
55,Reggae,Adrian Sherwood,Majestic 12,SOAQOCW12A6D4F85DF,3113
56,Reggae,Slightly Stoopid,Bandelero,SOINHHV12A8C140860,3071
57,Reggae,Ziggy Marley And The Melody Makers,This One,SOAWUML12A6D4F3FE1,3061
58,Reggae,Rebelution,Outta Control,SOESGME12AB01809D8,3054
59,Reggae,Steel Pulse,Chant A Psalm,SOXJNCX12A6701EA65,3048
60,Reggae,UB40,Here I Am (Come And Take Me),SOLFMIZ12A6D4F8330,3047
61,Reggae,SOJA,Here I Am,SOQMFQX12AB0189E9A,2874
62,Reggae,Buju Banton,Tribal War,SOJVEVP12A8C1419A9,2874
63,Reggae,Buju Banton,Cry No More,SOPJRHM12A8C1343D9,2849
64,Reggae,Iration,Changed My Mind,SOGDSFK12AB018A200,2735
65,Reggae,"Damian ""Jr. Gong"" Marley",Me Name Jr. Gong,SOZEJTU12A8C1422B8,2694
66,Reggae,Seeed,Ding (Thing Feat. Saian Supa Crew),SOEJTNK12A67AE17C1,2678
67,Reggae,Fat Freddy's Drop,Flashback,SOCICBL12A8C13D663,2562
68,Reggae,Shaggy,Hot Shot,SOVRSXR12A6D4F3E3F,2538
69,Reggae,Easy Star All-Stars,Karma Police,SONUAZM12A58A7B617,2512
70,Reggae,Panteón Rococó,La Dosis Perfecta,SOOQMEY12AB018529E,2512
71,Reggae,Buju Banton,Why Buju Love Unnui,SOKLWMS12AB0183F8A,2470
72,Reggae,Ska-P,Niño Soldado,SOSHTTP12A8C13ACAC,2431
73,Reggae,Save Ferris,Come On Eileen,SOYKZEB12A8C132273,2409
74,Reggae,UB40,Bring Me Your Cup,SOLHXCQ12A6D4F403E,2385
75,Reggae,Easy Star All-Stars,Time (featuring Corey Harris & Ranking Joe),SOJGZFQ12AF72A41B2,2369
76,Reggae,George Faith,To Be A Lover,SOGILWV12A58A7C193,2357
77,Reggae,Damian Marley,There For You,SOYKEHE12A67ADAF01,2333
78,Reggae,Buju Banton,African Pride,SOZJKEZ12AB017F2E3,2326
79,Reggae,SOJA,Rasta Courage,SOBSJRU12AB018867F,2315
80,Reggae,Natiruts,Pode Ser,SOWSBOJ12A6D4F9064,2309
81,Reggae,Julian Marley,All I Know,SODSWIJ12A8C140834,2293
82,Reggae,Bob Marley & The Wailers,Forever Loving Jah,SOBEITD12A6D4F8C38,2289
83,Reggae,Seeed,Slowlife,SOPRNYR12A67AD75FB,2280
84,Reggae,Rebelution,Suffering,SOWUCFL12AB0188263,2273
85,Reggae,Bob Marley & The Wailers,Reggae On Broadway,SOKCEXR12A6701C3EB,2272
86,Reggae,Ska-P,A La Mierda,SOBYRTY12AB0181EDB,2233
87,Reggae,Kevin Lyttle,Turn Me On (featuring Spragga Benz-new),SOHJCXR12A6701F71D,2216
88,Reggae,The Slits,Issues,SOXUXNC12A8C14492F,2195
89,Reggae,Michael Franti & Spearhead,Hey Now Now,SOXACRN12A6D4F5DD2,2183
90,Reggae,Ziggy Marley,True To Myself,SOTWWAM12A8C13A2DC,2170
91,Reggae,Matisyahu,Chop 'em Down,SOTLEJS12A8C13C1E5,2161
92,Reggae,Xavier Rudd,Shiver,SOTLVSV12A8C136E8D,2153
93,Reggae,Nonpalidece,Reggae En El Universo,SOZKSGW12A6D4FBFE1,2139
94,Reggae,Nonpalidece,Tu Presencia,SOXAJXO12A6D4FBFE7,2124
95,Reggae,Seeed,Respectness (Album Version),SOLCJBD12A67020495,2121
96,Reggae,Mad Cobra,Flex,SONIIZY12AC4686191,2107
97,Reggae,Ziggy Marley,Rainbow In The Sky,SOFLNVT12A8C13A2E4,2103
98,Reggae,Jimmy Cliff,You Can Get It If You Really Want,SOZEFIW12AB0189C09,2096
99,Reggae,Groundation,Don's Intro,SOWDKNI12A3F1EB619,2093
100,Reggae,The Specials,Rat Race,SOHKRJS12A6310D8BA,2074
