rank,genre,artist,title,song_id,play_count
1,Rock,Björk,Undo,SOAUWYT12A81C206F1,648239
2,Rock,Kings Of Leon,Revelry,SOSXLTC12AF72A7F54,527893
3,Rock,Harmonia,Sehr kosmisch,SOFRQTD12A81C233C0,425463
4,Rock,OneRepublic,Secrets,SONYKOW12AB01849C9,292642
5,Rock,Tub Ring,Invalid,SOUFTBI12AB0183F65,268353
6,Rock,Kings Of Leon,Use Somebody,SOWCKVR12A8C142411,145725
7,Rock,The Crests,16 Candles,SOWEHOM12A6BD4E09E,129069
8,Rock,Coldplay,Clocks,SOCVTLJ12A6310F0FD,114362
9,Rock,Coldplay,Yellow,SOPXKYD12A6D4FA876,109566
10,Rock,Paramore,The Only Exception (Album Version),SOKUPAO12AB018D576,103653
11,Rock,Radiohead,Creep (Explicit),SOPQLBY12A6310E992,98854
12,Rock,Mike And The Mechanics,A Beggar On A Beach Of Gold,SOZCDWG12A6D4F81E1,97488
13,Rock,Edward Sharpe & The Magnetic Zeros,Home,SOTVLQY12A58A798C2,97215
14,Rock,3 Doors Down,Kryptonite,SOLLNTU12A6701CFDC,94900
15,Rock,Florence + The Machine,Cosmic Love,SOXWYZP12AF72A42A6,94002
16,Rock,Evanescence,Bring Me To Life,SONIQRE12AF72A2B02,91448
17,Rock,Base Ball Bear,Sayonara-Nostalgia,SOQCGHN12AB0181246,89187
18,Rock,Cradle Of Filth,Better To Reign In Hell,SOQZYQH12A8AE468E5,88075
19,Rock,John Mayer,Heartbreak Warfare,SOUFPNI12A8C142D19,87745
20,Rock,Modest Mouse,Float On,SONNSYV12A8C146BEC,85079
21,Rock,Bon Jovi,Livin' On A Prayer,SOGPBAW12A6D4F9F22,83616
22,Rock,The Buggles,Video Killed The Radio Star,SOVWBYM12A6D4F8A22,76811
23,Rock,Rise Against,Savior,SOUJVIT12A8C1451C1,74654
24,Rock,MGMT,Electric Feel,SOXPFLM12A8AE48C50,70648
25,Rock,The White Stripes,Seven Nation Army,SOAUFOF12AB0180C65,70470
26,Rock,Plain White T's,Hey There Delilah,SOFRCGW12A81C21EA6,66852
27,Rock,John Mayer,Half Of My Heart,SOXNZOW12AB017F756,65966
28,Rock,Eagles,Hotel California,SOEBOWM12AB017F279,65585
29,Rock,Linkin Park,In The End (Album Version),SOPVQLJ12A67AE2281,64000
30,Rock,Guns N' Roses,Paradise City,SOQGVCS12AF72A078D,60787
31,Rock,Colossal,Brave The Elements,SOQGSUC12A8C13B66D,57320
32,Rock,Jimmy Eat World,The Middle,SORWLTW12A670208FA,56992
33,Rock,MGMT,Time To Pretend,SOWOMMY127F8096DF9,56458
34,Rock,Evanescence,My Immortal (Album Version),SOIPYPB12A8C1360D4,55655
35,Rock,Nickelback,How You Remind Me,SOKMHKY12AF72AB079,54208
36,Rock,Counting Crows,Mr. Jones,SONQEYS12AF72AABC9,51287
37,Rock,Passion Pit,Sleepyhead,SOSLQQJ12AB017BDCC,51084
38,Rock,Bon Iver,Skinny Love,SOTKYBW12A8C13C3EA,49649
39,Rock,Jack Johnson,Bubble Toes,SOSPXWA12AB0181875,49597
40,Rock,Two Door Cinema Club,What You Know,SONEWAX12AB018DD3F,49030
41,Rock,Florence + The Machine,Rabbit Heart (Raise It Up),SOOWVNN12A8C140775,48042
42,Rock,David Bowie,Sorrow (1997 Digital Remaster),SODCNEE12A6310E037,47785
43,Rock,Linkin Park,What I've Done (Album Version),SOJKQSF12A6D4F5EE9,45817
44,Rock,Muse,Resistance,SOXAQJS12AB018CBF7,44340
45,Rock,Jack Johnson,Do You Remember,SOKUTUM12A6701D9CD,43280
46,Rock,Coldplay,Shiver,SOSVPIE12A6D4FA873,43055
47,Rock,Pandora's Box,The Want Ad,SOGLWGG12A6D4F8046,42819
48,Rock,Sheryl Crow,Picture,SOHFGKG12A6701C429,42563
49,Rock,Foo Fighters,Everlong,SOXVVSM12A8C142224,42427
50,Rock,Metric,Help I'm Alive,SOEOJHS12AB017F3DC,42230
51,Rock,Lynyrd Skynyrd,Sweet home Alabama,SOVQJRY12A81C210C0,42059
52,Rock,Nickelback,Far Away (Album Version),SOFVZRE12A8C139783,41827
53,Rock,Coldplay,Speed Of Sound,SOUKJBT12A6701C4D6,41493
54,Rock,Coldplay,In My Place,SOMRYYN12A6310F0F3,41433
55,Rock,Queen,Under Pressure,SOZYSDT12A8C13BFD7,40935
56,Rock,Linkin Park,Crawling (Album Version),SOEKSGJ12A67AE227E,40739
57,Rock,Guns N' Roses,Don't Cry (Original),SOAMIQK12A6701D94F,40480
58,Rock,Florence + The Machine,I'm Not Calling You A Liar,SOILFUU12AB017C75F,40082
59,Rock,A Day To Remember,If It Means A Lot To You,SORBBFV12AB017D710,39775
60,Rock,Death Cab for Cutie,I Will Follow You into the Dark (Album Version),SOOYDAZ12A58A7AE08,39465
61,Rock,Jag Panzer,Reign Of The Tyrants,SOIMTII12A6D4F662A,39226
62,Rock,Nirvana,Come As You Are,SODEOCO12A6701E922,37653
63,Rock,Franz Ferdinand,Take Me Out,SOXKOIY12A8C13C1EA,37541
64,Rock,Metallica,Ride The Lightning,SOITRTA12A6D4F8261,35713
65,Rock,Godsmack,Speak,SOHALKJ12AB017FCC2,35380
66,Rock,Linkin Park,New Divide (Album Version),SOPSYOY12A8C142E0B,35191
67,Rock,Creedence Clearwater Revival,Fortunate Son,SOLWRZI12A6D4FC4F0,34506
68,Rock,Nick Cave & The Bad Seeds,Spell,SOOXLIG12AB0185803,33624
