rank,artist,title,song_id,play_count
1,Dwight Yoakam,You're The One,SOBONKR12A58A7A7E0,726885
2,Björk,Undo,SOAUWYT12A81C206F1,648239
3,Kings Of Leon,Revelry,SOSXLTC12AF72A7F54,527893
4,Harmonia,Sehr kosmisch,SOFRQTD12A81C233C0,425463
5,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),SOEGIYH12A6D4FC0E3,389880
6,Florence + The Machine,Dog Days Are Over (Radio Edit),SOAXGDH12A8C13F8A1,356533
7,OneRepublic,Secrets,SONYKOW12AB01849C9,292642
8,Five Iron Frenzy,Canada,SOPUCYA12A8C13A694,274627
9,Tub Ring,Invalid,SOUFTBI12AB0183F65,268353
10,Sam Cooke,Ain't Misbehavin,SOVDSJC12A58A7A271,244730
11,Alliance Ethnik,Représente,SOOFYTN12A6D4F9B35,241669
12,Lonnie Gordon,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),SOHTKMO12AB01843B0,236494
13,Alliance Ethnik,Sincerité Et Jalousie,SOBOUPA12A6D4F81F1,225652
14,Train,Hey_ Soul Sister,SODJWHY12A8C142CCE,209212
15,Charttraxx Karaoke,Fireflies,SOLFXKT12AB017E3E0,197181
16,Angels and Airwaves,The Gift,SOTCMDJ12A6D4F8528,192884
17,Cartola,Tive Sim,SOFLJQZ12A6D4FADA6,185653
18,Train,Marry Me,SOTWNDJ12A8C143984,174080
19,Ron Carter,I CAN'T GET STARTED,SOUNZHU12A8AE47481,158636
20,Lil Wayne / Eminem,Drop The World,SOUVTSM12AC468F6A7,155717
21,Usher featuring will.i.am,OMG,SOUSMXX12AB0185C24,155529
22,Bill Withers,Make Love To Your Mind,SOUDLVN12AAFF43658,146978
23,Kings Of Leon,Use Somebody,SOWCKVR12A8C142411,145725
24,Pavement,Mercy:The Laundromat,SORJICW12A8C13640D,130116
25,Randy Crawford,Almaz,SOPSOHT12A67AE0235,129868
26,The Crests,16 Candles,SOWEHOM12A6BD4E09E,129069
27,Coldplay,The Scientist,SOKLRPJ12A8C13C3FE,128837
28,Jason Mraz & Colbie Caillat,Lucky (Album Version),SOBOAFP12A8C131F36,127044
29,Kid Cudi / MGMT / Ratatat,Pursuit Of Happiness (nightmare),SOPPROJ12AB0184E18,124162
30,Travie McCoy,Billionaire [feat. Bruno Mars]  (Explicit Album Version),SOPTLQL12AB018D56F,122318
31,Die Mooskirchner,Frisch und g'sund,SOLGLUC12AB018A8FA,116183
32,Sheena Easton,Strut (1993 Digital Remaster),SONQCXC12A6D4F6A37,115134
33,Coldplay,Clocks,SOCVTLJ12A6310F0FD,114362
34,J. Karjalainen & Mustat Lasit,Sinisten tähtien alla,SOMGVYU12A8C1314FF,113560
35,Frumpies,Fuck Kitty,SOIZFTE12AB0186842,112421
36,Lady GaGa,Alejandro,SOSCIZP12AB0181D2F,111615
37,Future Rock,Gears,SOUNJIO12AB0181339,111596
38,Justin Bieber,Somebody To Love,SODGVGW12AC9075A8D,110757
39,La Roux,Bulletproof,SOLRGVL12A8C143BC3,110240
40,Coldplay,Yellow,SOPXKYD12A6D4FA876,109566
41,Three Drives,Greece 2000,SOZVVRE12A8C143150,108927
42,Lady GaGa / Colby O'Donis,Just Dance,SOFKABN12A8AE476C6,105032
43,Paramore,The Only Exception (Album Version),SOKUPAO12AB018D576,103653
44,Foolish Things,Who Can Compare,SOMCAFM12A58A7B024,102247
45,Todd Barry,Sugar Ray (LP Version),SOLGPOU12A58A7EA20,101969
46,Dominique A,Le Courage Des Oiseaux,SOBFRNE12A6D4F7995,100461
47,Beastie Boys,Unite (2009 Digital Remaster),SOXLOQG12AF72A2D55,99137
48,Radiohead,Creep (Explicit),SOPQLBY12A6310E992,98854
49,Metallica,Master Of Puppets,SOSJRJP12A6D4F826F,98667
50,Mike And The Mechanics,A Beggar On A Beach Of Gold,SOZCDWG12A6D4F81E1,97488
51,Edward Sharpe & The Magnetic Zeros,Home,SOTVLQY12A58A798C2,97215
52,Black Eyed Peas,I Gotta Feeling,SOXFPND12AB017C9D1,96809
53,Linkin Park,Bleed It Out [Live At Milton Keynes],SOCKSGZ12A58A7CA4B,96692
54,3 Doors Down,Kryptonite,SOLLNTU12A6701CFDC,94900
55,Natiruts,Jamaica Roots II(Agora E Sempre),SODCNJX12A6D4F93CB,94502
56,Florence + The Machine,Cosmic Love,SOXWYZP12AF72A42A6,94002
57,The Ruts,West One (Shine On Me),SOHFJAQ12AB017E4AF,93981
58,Beyoncé,Halo,SOADJQJ12A8C141D38,91461
59,Evanescence,Bring Me To Life,SONIQRE12AF72A2B02,91448
60,Panic At The Disco,Behind The Sea [Live In Chicago],SOMGIYR12AB0187973,89974
61,Taylor Swift,Love Story,SOTWSXL12A8C143349,89589
62,Base Ball Bear,Sayonara-Nostalgia,SOQCGHN12AB0181246,89187
63,Cradle Of Filth,Better To Reign In Hell,SOQZYQH12A8AE468E5,88075
64,John Mayer,Heartbreak Warfare,SOUFPNI12A8C142D19,87745
65,B.o.B,Nothin' On You [feat. Bruno Mars] (Album Version),SOULTKQ12AB018A183,87366
66,Muse,Uprising,SOANQFY12AB0183239,87050
67,Modest Mouse,Float On,SONNSYV12A8C146BEC,85079
68,Southside Spinners,Luvstruck,SOBRHVR12A8C133F35,84225
69,Coldplay,Fix You,SOWEJXA12A6701C574,84155
70,Bon Jovi,Livin' On A Prayer,SOGPBAW12A6D4F9F22,83616
71,Florence + The Machine,You've Got The Love,SOPAYPV12AB017DB0C,83255
72,California Swag District,Teach Me How To Dougie,SOSZJFV12AB01878CB,82819
73,OneRepublic,All The Right Moves,SOLWZVR12AB01849C6,81736
74,The Black Keys,Tighten Up,SOVDLZN12AB0185BEA,81179
75,The Killers,When You Were Young,SOZVCRW12A67ADA0B7,80357
76,Kid Cudi Vs Crookers,Day 'N' Nite,SODGJKH12AAA8C9487,79974
77,Miley Cyrus,Party In The U.S.A.,SOVWADY12AB0189C63,78443
78,The Verve,Bitter Sweet Symphony,SOXQYSC12A6310E908,76893
79,The Buggles,Video Killed The Radio Star,SOVWBYM12A6D4F8A22,76811
80,Muse,Supermassive Black Hole (Twilight Soundtrack Version),SOIZLKI12A6D4F7B61,75669
81,Jacky Terrasson,Le Jardin d'Hiver,SOMCMKG12A8C1347BF,75540
82,Rise Against,Savior,SOUJVIT12A8C1451C1,74654
83,Eminem,Mockingbird,SOHYSXA12AB0186704,74103
84,The Script,Breakeven,SODLLYS12A8C13A96B,73067
85,Simon Harris,Sample Track 2,SOLRGNF12AB0187CF4,72666
86,Beastie Boys,The Maestro,SOMMONH12A6D4F41CD,72381
87,DJ Dizzy,Sexy Bitch,SONHVVE12AB018D038,72259
88,3 Doors Down,Here Without You,SOOJJCT12A6310E1C0,72151
89,MGMT,Electric Feel,SOXPFLM12A8AE48C50,70648
90,The White Stripes,Seven Nation Army,SOAUFOF12AB0180C65,70470
91,White Denim,Transparency,SOOGNOZ12AAF3B2936,69679
92,Katy Perry,I Kissed A Girl,SONOYIB12A81C1F88C,69458
93,Jason Derulo,Whatcha Say,SOWKQYL12AB0183B15,69053
94,Shania Twain,Nah!,SOBABRB12A6701DF4B,68150
95,Alceu Valença,Recado Falado (Metrô Da Saudade),SONDKOF12A6D4F7D70,67748
96,Band Of Horses,The Funeral (Album Version),SOEQJBS12A8AE475A4,67403
97,Sean Kingston and Justin Bieber,Eenie Meenie,SOGSAYQ12AB018BA14,66998
98,Plain White T's,Hey There Delilah,SOFRCGW12A81C21EA6,66852
99,John Mayer,Half Of My Heart,SOXNZOW12AB017F756,65966
100,Eagles,Hotel California,SOEBOWM12AB017F279,65585
101,Taylor Swift,You Belong With Me,SOSROFB12AAF3B4C5D,65582
102,Thursday,Voices On A String (Album Version),SOZEBAZ12AF72A80C8,64374
103,Cage The Elephant,Ain't No Rest For The Wicked (Original Version),SOJTLHS12A8C13F633,64264
104,Linkin Park,In The End (Album Version),SOPVQLJ12A67AE2281,64000
105,Deadmau5,Ghosts 'n' Stuff (Original Instrumental Mix),SOEPZQS12A8C1436C7,63951
106,Owl City,Vanilla Twilight,SOGTQNI12AB0184A5C,63937
107,Eminem,Without Me,SOWGXOP12A6701E93A,63918
108,Drake / Kanye West / Lil Wayne / Eminem,Forever,SOTEGWG12AB01897AC,63860
109,Daft Punk,Harder Better Faster Stronger,SOAFTRR12AF72A8D4D,63170
110,Alliance Ethnik,Creil City,SOCNAXF12A6D4F9B34,62604
111,Black Eyed Peas,Imma Be,SOBADEB12AB018275F,62438
112,Justin Bieber,U Smile,SOGCWUH12AC90732B0,61568
113,Kid Cudi / Kanye West / Common,Make Her Say,SOTNHIP12AB0183131,61544
114,Guns N' Roses,Paradise City,SOQGVCS12AF72A078D,60787
115,Kid Cudi,Up Up & Away,SOARUPP12AB01842E0,59810
116,The All-American Rejects,Gives You Hell,SOGPNGN12A8C143969,59295
117,Bon Jovi,It's My Life,SOWYYUQ12A6701D68D,58956
118,Clara Hill,Clara meets Slope - Hard To Say,SOJSXJY12A8C13E32E,58887
119,Olivia Newton-John,Hochmah (Interlude),SODWXJW12AAA8C5C29,58694
120,The Postal Service,Such Great Heights,SOAKMDU12A8C1346A9,58059
121,Adam Lambert,If I Had You,SOISNSU12AC468C0D8,57602
122,Colossal,Brave The Elements,SOQGSUC12A8C13B66D,57320
123,The Prodigy,The Big Gundown,SOVIZNF12AF72A710A,57178
124,DJ Khaled,All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross),SOYGKNI12AB0187E6E,57023
125,Jimmy Eat World,The Middle,SORWLTW12A670208FA,56992
126,MGMT,Time To Pretend,SOWOMMY127F8096DF9,56458
127,Florence + The Machine,Kiss With A Fist,SOHFNKO12AB017C772,55921
128,Evanescence,My Immortal (Album Version),SOIPYPB12A8C1360D4,55655
129,Kanye West,Stronger,SOBXHDL12A81C204C0,54746
130,Nickelback,How You Remind Me,SOKMHKY12AF72AB079,54208
131,Fisher,Rianna,SONHWUN12AC468C014,54194
132,Ramones,I Wanna Be Sedated (Remastered Album Version ),SOMLYJD12A58A7B155,54173
133,Justin Bieber,Never Let You Go,SOUGCDK12AC95F075F,54149
134,Eminem,The Real Slim Shady,SOKOXWU12AF72AD1BC,52841
135,N.E.R.D.,Rock Star,SOWRREB12A6D4FA7CB,52834
136,Philippe Rochard,Crumpshit,SOIOZHO12AB017FE5E,52691
137,Ice Cube,It Was A Good Day,SOKYHYL12A8C13D79D,52472
138,Usher Featuring Lil' Jon & Ludacris,Yeah!,SOIIOUS12A8AE47E20,51755
139,Counting Crows,Mr. Jones,SONQEYS12AF72AABC9,51287
140,Postal Service,Nothing Better (Album),SOFCPOU12A8C13BF40,51280
141,Justin Bieber,One Time,SODOWUC12AC9097E76,51106
142,Passion Pit,Sleepyhead,SOSLQQJ12AB017BDCC,51084
143,Justin Bieber,Love Me,SOGWJEY12AC9618862,50925
144,M.I.A.,Paper Planes,SOUOEMP12A8C13866E,50763
145,Rihanna,Take A Bow,SOQWYAQ12A6D4FB9A3,50155
146,Cosmo Vitelli,Robot Soul (Radio Edit),SOSYOHI12A8C144584,50099
